,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
5331,4,79.1,2.6,3,4.0,0,16,14,4.0,1.0,100.0,7
5332,5,87.44,2.58,3,5.0,0,3,7,5.0,0.0,100.0,7
5333,5,65.1,2.44,3,4.0,0,3,6,4.0,0.0,100.0,7
5334,3,79.2,2.39,3,3.0,3,3,6,3.0,0.0,25.0,7
5335,4,67.2,2.47,3,6.0,0,1,19,6.0,0.0,100.0,7
5336,0,104.56,2.39,3,5.0,0,1,8,5.0,0.0,100.0,7
5337,5,77.1,2.424,0,5.0,0,3,4,5.0,0.0,100.0,7
5338,4,61.2,2.44,3,3.0,0,1,8,3.0,0.0,100.0,7
5339,5,98.9,2.34,3,6.0,0,0,4,6.0,0.0,100.0,7
5340,0,89.2,2.316,3,5.0,3,0,14,4.0,0.0,70.0,7
5341,4,92.7,2.34,3,5.0,0,3,8,5.0,0.0,100.0,7
5342,4,66.4,2.39,3,5.0,0,0,6,5.0,0.0,100.0,7
5343,5,59.7,2.29,3,3.0,4,3,8,3.0,1.0,0.0,8
5344,4,80.2,2.77,3,5.0,3,16,4,5.0,1.0,10.0,7
5345,5,72.0,2.4,3,5.0,2,16,13,5.0,4.0,90.0,7
5346,4,83.3,2.6,3,5.0,0,16,4,5.0,2.0,100.0,7
5347,5,83.25,2.56,3,4.0,0,1,7,4.0,0.0,100.0,7
5348,5,107.75,2.4,3,7.0,3,16,19,7.0,2.0,40.0,7
5349,4,53.47,2.7,3,4.0,0,1,8,4.0,0.0,100.0,7
5350,0,165.9,2.4,3,9.0,0,0,19,9.0,0.0,100.0,7
5351,5,99.4,2.75,3,6.0,0,1,3,6.0,0.0,100.0,7
5352,3,75.4,2.35,3,5.0,0,0,15,5.0,0.0,100.0,7
5353,5,82.75,2.34,3,5.0,0,23,8,5.0,0.0,100.0,7
5354,3,77.75,2.35,3,4.0,0,1,7,3.0,0.0,100.0,35
5355,0,131.2,2.51,3,5.0,0,3,14,5.0,0.0,100.0,7
5356,0,117.8,2.4,3,6.0,0,3,4,6.0,0.0,100.0,7
5357,5,57.62,2.43,3,4.0,3,16,14,4.0,0.0,60.0,7
5358,3,94.4,2.77,3,5.0,3,16,14,5.0,0.0,50.0,7
5359,5,124.5,2.55,1,6.0,0,1,4,6.0,0.0,100.0,7
5360,3,76.6,2.3,3,4.0,0,2,14,4.0,0.0,100.0,7
5361,4,82.8,2.8,3,4.0,0,3,7,4.0,0.0,100.0,7
5362,0,148.4,2.34,3,6.0,0,0,7,6.0,0.0,100.0,8
5363,5,48.6,2.4,3,3.0,0,0,19,3.0,0.0,100.0,6
5364,4,76.8,2.65,3,4.0,0,16,3,4.0,0.0,100.0,7
5365,3,77.4,2.5,3,5.0,0,16,6,5.0,0.0,100.0,7
5366,5,63.84,2.37,3,4.0,3,1,14,4.0,0.0,95.0,7
